Index,Code,Name,lon,lat,Type,Alt
81,Z9722,随州,113.38888888888889,31.725833333333334,SB,136.0
82,Z9270,武汉,114.37777777777778,30.516944444444444,SA,135.7
83,Z9717,宜昌,111.29583333333333,30.701944444444443,SA,203.8
84,Z9713,麻城,115.01,31.171666666666667,SA,129.8
85,Z9710,襄阳,112.12194444444444,32.00833333333333,SA,99.0
86,Z9736,常德,111.70694444444445,29.180833333333332,SB,579.0
87,Z9745,怀化,110.00277777777778,27.565833333333334,CB,307.1
88,Z9739,邵阳,111.44694444444444,27.206944444444446,SA,348.0
89,Z9746,永州,111.61583333333333,26.225833333333334,SB,195.5
90,Z9730,岳阳,113.10277777777777,29.29888888888889,SA,162.2
91,Z9731,长沙,113.01194444444444,28.459722222222222,SA,630.4
92,Z9735,郴州,112.975,25.733888888888888,SA,396.0
